CompetitorID,Day,domain,Referring domains,Domain Rating,URL Rating,Organic traffic,Organic traffic value,Organic pages,Impressions,Paid traffic,Paid traffic cost,Crawled pages,Organic keywords: 1-3,Organic keywords: 4-10,Organic keywords: 11-20,Organic keywords: 21-50,Organic keywords: 51+,Total Traffic
15,6/21/2022,bishopfox.com,2150,72.0,,1484,2953,494,26106,110,676,938,35,186,512,1763,2822,1594
15,6/22/2022,bishopfox.com,2144,72.0,,1478,2958,495,20777,68,571,939,35,185,507,1772,2822,1546
15,6/23/2022,bishopfox.com,2130,72.0,,1471,2968,492,20677,68,571,943,35,185,496,1772,2812,1539
15,6/24/2022,bishopfox.com,2119,72.0,,1472,2971,496,20169,68,571,950,34,183,495,1762,2828,1540
15,6/25/2022,bishopfox.com,2109,72.0,,1468,2962,496,20220,68,574,961,37,181,485,1762,2822,1536
15,6/26/2022,bishopfox.com,2103,72.0,,1473,2958,501,39184,340,2322,964,37,181,483,1756,2824,1813
15,6/27/2022,bishopfox.com,2088,72.0,,1473,2960,506,39189,341,2325,965,36,183,481,1748,2834,1814
15,6/28/2022,bishopfox.com,2081,72.0,,1470,2967,508,35460,342,2336,966,36,181,482,1740,2837,1812
15,6/29/2022,bishopfox.com,2082,72.0,,1481,2956,508,40429,292,2461,965,36,180,483,1740,2815,1773
15,6/30/2022,bishopfox.com,2069,72.0,,1480,2956,508,40429,292,2461,967,36,181,484,1743,2825,1772
15,7/1/2022,bishopfox.com,2063,72.0,,1477,2955,509,38278,285,2522,968,36,181,483,1751,2837,1762
15,7/2/2022,bishopfox.com,2048,72.0,,1477,2953,509,38198,285,2522,969,37,180,486,1760,2846,1762
15,7/3/2022,bishopfox.com,2038,72.0,,1492,3005,510,38512,286,2522,969,37,184,495,1795,2900,1778
15,7/4/2022,bishopfox.com,2033,72.0,,1491,3006,512,38714,282,2488,970,37,179,464,1765,2886,1773
15,7/5/2022,bishopfox.com,2030,72.0,,1494,3014,513,38522,283,2488,970,36,168,416,1701,2895,1777
15,7/6/2022,bishopfox.com,2020,72.0,,1870,4031,512,43910,296,2548,974,36,158,381,1635,2907,2166
15,7/7/2022,bishopfox.com,2014,72.0,,1867,4029,512,43179,268,2103,975,35,156,375,1617,2908,2135
15,7/8/2022,bishopfox.com,2008,72.0,,1877,4073,511,43283,268,2103,977,36,156,374,1610,2912,2145
15,7/9/2022,bishopfox.com,2008,72.0,,1876,4073,511,44411,363,2518,977,36,152,375,1601,2905,2239
15,7/10/2022,bishopfox.com,2002,72.0,,1869,4051,513,43978,363,2518,977,36,148,380,1606,2903,2232
15,7/11/2022,bishopfox.com,2004,72.0,,1871,4100,514,43998,363,2518,977,37,150,370,1598,2894,2234
15,7/12/2022,bishopfox.com,1996,72.0,,1865,4135,513,43999,362,2518,978,38,149,367,1583,2910,2227
15,7/13/2022,bishopfox.com,1989,72.0,,1872,4185,515,40430,324,1956,980,38,147,366,1579,2898,2196
15,7/14/2022,bishopfox.com,2004,72.0,,1872,4169,513,39471,268,1439,980,39,149,358,1577,2897,2140
15,7/15/2022,bishopfox.com,2012,72.0,,1876,4176,514,23582,117,449,981,41,148,360,1578,2898,1993
15,7/16/2022,bishopfox.com,2037,72.0,,1879,4206,518,31367,137,804,981,40,151,356,1577,2902,2016
15,7/17/2022,bishopfox.com,2040,72.0,,1877,4213,520,44485,359,2326,981,40,152,357,1572,2911,2236
15,7/18/2022,bishopfox.com,2041,72.0,,1877,4219,519,38347,299,1851,981,40,153,360,1570,2904,2176
15,7/19/2022,bishopfox.com,2043,72.0,,1881,4219,519,24695,23,42,981,40,152,359,1563,2912,1904
15,7/20/2022,bishopfox.com,2056,72.0,,1875,4195,521,25955,20,42,981,40,153,356,1558,2912,1895
15,7/21/2022,bishopfox.com,2063,72.0,,1863,4160,520,24480,20,42,982,38,154,359,1557,2911,1883
15,7/22/2022,bishopfox.com,2064,72.0,,1866,4154,520,28786,18,41,985,40,156,358,1575,2909,1884
15,7/23/2022,bishopfox.com,2068,72.0,,1873,4169,524,29491,18,39,985,40,156,356,1585,2911,1891
15,7/24/2022,bishopfox.com,2069,72.0,,1884,4175,525,27871,18,39,986,40,158,354,1578,2926,1902
