year,month,etv,Organic,Paid,Article Count,Weight,Sentiment,Relevance,Total Events
2022,12,1507275.929343002,62861,804,14,490,-0.0532679738562091,37.875,14
2023,1,1343462.7532221451,59028,549,14,337,-0.0538888888888888,23.875,14
2023,2,958307.7544521205,64054,479,3,47,-0.0549019607843136,17.0,3
2023,3,612381.8677709047,61329,443,14,371,-0.0295424836601306,23.28333333333333,14
2023,4,1517934.0598981737,70299,265,11,153,-0.1052941176470588,12.8125,11
2023,5,1175218.5566259697,80796,94,13,269,0.0031372549019607,22.2,13
2023,6,2451016.7089484837,89174,44,16,435,-0.0256354393609295,25.416666666666668,16
2023,7,2186252.573436253,92886,239,18,353,-0.053115468409586,20.405555555555555,18
2023,8,877285.6822784916,92901,233,8,259,-0.0013071895424837,30.611111111111114,8
2023,9,906153.890113445,107110,256,14,281,-0.0357843137254902,21.4375,14
2023,10,863485.5258470178,107680,153,11,197,-0.0637254901960784,15.6875,11
2023,11,881504.1209221408,104577,132,23,401,-0.0533594771241829,17.11,23
2023,12,969467.2093315199,100775,39,15,321,-0.0217086834733894,25.64583333333333,15
2024,1,726444.4390347172,94227,34,12,225,-0.1403594771241829,18.89583333333333,12
2024,2,805511.8264413569,88400,128,9,156,-0.0658823529411764,15.625,9
2024,3,792410.2851915043,87533,251,9,182,0.0381263616557734,21.33333333333333,9
2024,4,737321.3579764143,85270,344,11,182,-0.0102941176470589,18.3125,11
2024,5,768643.7982760388,86209,231,33,724,0.0054453781512605,21.542857142857144,33
2024,6,1089981.7285189033,89529,182,23,656,-0.0265639589169,27.86904761904762,23
2024,7,1186563.9520495776,92288,383,19,596,-0.0472875816993463,31.195833333333333,19
2024,8,800786.9509903379,93664,153,24,681,0.0473202614379084,27.991666666666667,24
2024,9,974244.2873934731,99110,98,12,236,-0.0196078431372549,21.20833333333333,12
2024,10,978853.2622282244,101542,82,18,432,-0.0386928104575163,24.973333333333333,18
2024,11,746095.1815513708,99312,45,10,202,-0.0854901960784313,18.6,10
2024,12,671955.5212786831,95472,44,4,72,-0.0333333333333333,18.0,4
