se_type,location_code,language_code,total_count,items_count,target,metric_type,year,month,etv,count
google,2840,en,19,19,ek.co,organic,2024,12,974.9929189868271,1039
google,2840,en,19,19,ek.co,organic,2024,11,1048.9906620383263,988
google,2840,en,19,19,ek.co,organic,2024,10,1033.8234754055738,917
google,2840,en,19,19,ek.co,organic,2024,9,1058.5604730341583,922
google,2840,en,19,19,ek.co,organic,2024,8,966.3341014869511,941
google,2840,en,19,19,ek.co,organic,2024,7,1137.5403292831033,915
google,2840,en,19,19,ek.co,organic,2024,6,871.2489387709647,804
google,2840,en,19,19,ek.co,organic,2024,5,1082.9563399273902,763
google,2840,en,19,19,ek.co,organic,2024,4,986.6101385653019,771
google,2840,en,19,19,ek.co,organic,2024,3,631.0364282019436,707
google,2840,en,19,19,ek.co,organic,2024,2,880.8461318444461,706
google,2840,en,19,19,ek.co,organic,2024,1,832.4454135168344,672
google,2840,en,19,19,ek.co,organic,2023,12,621.6962861940265,737
google,2840,en,19,19,ek.co,organic,2023,11,918.8637278098613,741
google,2840,en,19,19,ek.co,organic,2023,10,949.5887289922684,723
google,2840,en,19,19,ek.co,organic,2023,9,642.2341191805899,717
google,2840,en,19,19,ek.co,organic,2023,8,416.04521294124424,676
google,2840,en,19,19,ek.co,organic,2023,7,458.5304915141314,662
google,2840,en,19,19,ek.co,organic,2023,6,469.6460444983095,647
google,2840,en,19,19,ek.co,organic,2023,5,407.26926999539137,632
google,2840,en,19,19,ek.co,organic,2023,4,554.7957642581314,653
google,2840,en,19,19,ek.co,organic,2023,3,451.0934286583215,719
google,2840,en,19,19,ek.co,organic,2023,2,649.9257761407644,736
google,2840,en,19,19,ek.co,organic,2023,1,470.2976291626692,665
google,2840,en,19,19,ek.co,organic,2022,12,472.39287164621055,756
google,2840,en,19,19,ek.co,paid,2024,12,0.0,0
google,2840,en,19,19,ek.co,paid,2024,11,0.0,0
google,2840,en,19,19,ek.co,paid,2024,10,0.0,0
google,2840,en,19,19,ek.co,paid,2024,9,0.0,0
google,2840,en,19,19,ek.co,paid,2024,8,0.0,0
google,2840,en,19,19,ek.co,paid,2024,7,0.0,0
google,2840,en,19,19,ek.co,paid,2024,6,0.0,0
google,2840,en,19,19,ek.co,paid,2024,5,0.0,0
google,2840,en,19,19,ek.co,paid,2024,4,0.0,0
google,2840,en,19,19,ek.co,paid,2024,3,0.0,0
google,2840,en,19,19,ek.co,paid,2024,2,0.0,0
google,2840,en,19,19,ek.co,paid,2024,1,0.0,0
google,2840,en,19,19,ek.co,paid,2023,12,0.0,0
google,2840,en,19,19,ek.co,paid,2023,11,0.0,0
google,2840,en,19,19,ek.co,paid,2023,10,0.0,0
google,2840,en,19,19,ek.co,paid,2023,9,0.0,0
google,2840,en,19,19,ek.co,paid,2023,8,0.0,0
google,2840,en,19,19,ek.co,paid,2023,7,0.0,0
google,2840,en,19,19,ek.co,paid,2023,6,6.880000114440918,1
google,2840,en,19,19,ek.co,paid,2023,5,0.0,0
google,2840,en,19,19,ek.co,paid,2023,4,0.0,0
google,2840,en,19,19,ek.co,paid,2023,3,0.0,0
google,2840,en,19,19,ek.co,paid,2023,2,0.0,0
google,2840,en,19,19,ek.co,paid,2023,1,0.0,0
google,2840,en,19,19,ek.co,paid,2022,12,0.0,0
google,2840,en,19,19,coalfire.com,organic,2024,12,20726.054761070758,2387
google,2840,en,19,19,coalfire.com,organic,2024,11,19021.200548620895,2393
google,2840,en,19,19,coalfire.com,organic,2024,10,17018.897787157446,2351
google,2840,en,19,19,coalfire.com,organic,2024,9,16900.598486186936,2266
google,2840,en,19,19,coalfire.com,organic,2024,8,13041.823816593736,2108
google,2840,en,19,19,coalfire.com,organic,2024,7,15262.542585561052,2232
google,2840,en,19,19,coalfire.com,organic,2024,6,15287.451218757778,2447
google,2840,en,19,19,coalfire.com,organic,2024,5,16511.346552284434,2494
google,2840,en,19,19,coalfire.com,organic,2024,4,19776.650005353615,2705
google,2840,en,19,19,coalfire.com,organic,2024,3,18750.79660578817,3120
google,2840,en,19,19,coalfire.com,organic,2024,2,17215.987492587417,3196
google,2840,en,19,19,coalfire.com,organic,2024,1,16791.929742958397,3498
google,2840,en,19,19,coalfire.com,organic,2023,12,17026.128023460507,3640
google,2840,en,19,19,coalfire.com,organic,2023,11,16498.052680058405,3779
google,2840,en,19,19,coalfire.com,organic,2023,10,16697.837739005685,4414
google,2840,en,19,19,coalfire.com,organic,2023,9,16555.274131601676,4914
google,2840,en,19,19,coalfire.com,organic,2023,8,43384.11196277477,4846
google,2840,en,19,19,coalfire.com,organic,2023,7,43538.00381395593,4945
google,2840,en,19,19,coalfire.com,organic,2023,6,36523.5163521003,5030
google,2840,en,19,19,coalfire.com,organic,2023,5,31551.31998303905,4794
google,2840,en,19,19,coalfire.com,organic,2023,4,51105.41289766505,5173
google,2840,en,19,19,coalfire.com,organic,2023,3,21853.434893693775,6063
google,2840,en,19,19,coalfire.com,organic,2023,2,36719.641486695036,6180
google,2840,en,19,19,coalfire.com,organic,2023,1,66468.81004505791,6002
google,2840,en,19,19,coalfire.com,organic,2022,12,52235.221143342555,6371
google,2840,en,19,19,coalfire.com,paid,2024,12,47.05099982023239,7
google,2840,en,19,19,coalfire.com,paid,2024,11,90.87699887156487,10
google,2840,en,19,19,coalfire.com,paid,2024,10,31.381000131368637,15
google,2840,en,19,19,coalfire.com,paid,2024,9,69.84700021147728,19
google,2840,en,19,19,coalfire.com,paid,2024,8,172.51300072669983,36
google,2840,en,19,19,coalfire.com,paid,2024,7,790.0570053160191,146
google,2840,en,19,19,coalfire.com,paid,2024,6,229.76999980211258,46
google,2840,en,19,19,coalfire.com,paid,2024,5,327.54999977350235,59
