target,year,month,total_count,items_count,etv,Organic,Paid
bishopfox.com,2022,12,38,38,155388.61684077978,5485,8
bishopfox.com,2023,1,38,38,148365.34074496664,4960,11
bishopfox.com,2023,2,38,38,176502.16467001848,5119,14
bishopfox.com,2023,3,38,38,125009.33681192434,4964,5
bishopfox.com,2023,4,38,38,115407.61398060618,4843,2
bishopfox.com,2023,5,38,38,134862.34114437923,4865,3
bishopfox.com,2023,6,38,38,112242.6761091184,4905,3
bishopfox.com,2023,7,38,38,102289.2961870879,5161,2
bishopfox.com,2023,8,38,38,100690.19719667919,5092,2
bishopfox.com,2023,9,38,38,16729.271729534492,5480,0
bishopfox.com,2023,10,38,38,17574.81864941679,5507,1
bishopfox.com,2023,11,38,38,19047.782854696736,5195,1
bishopfox.com,2023,12,38,38,14015.645790448412,5072,0
bishopfox.com,2024,1,38,38,17711.8058934249,4835,1
bishopfox.com,2024,2,38,38,12151.437585758043,4504,0
bishopfox.com,2024,3,38,38,12453.44137649238,4384,0
bishopfox.com,2024,4,38,38,10934.769791565835,3910,0
bishopfox.com,2024,5,38,38,12766.375360829756,4208,0
bishopfox.com,2024,6,38,38,17732.927518244833,4266,0
bishopfox.com,2024,7,38,38,81983.53701088391,4006,0
bishopfox.com,2024,8,38,38,14439.625138582662,4091,0
bishopfox.com,2024,9,38,38,16228.14395823516,4544,0
bishopfox.com,2024,10,38,38,16476.65389817953,4659,0
bishopfox.com,2024,11,38,38,18204.574169564992,4452,0
bishopfox.com,2024,12,38,38,19288.909416306764,4207,0
breachlock.com,2022,12,38,38,3923.370107030496,1752,47
breachlock.com,2023,1,38,38,5611.587595812976,1824,44
breachlock.com,2023,2,38,38,4117.1720426902175,2021,45
breachlock.com,2023,3,38,38,5564.87952670455,2758,42
breachlock.com,2023,4,38,38,5889.332687428221,2834,40
breachlock.com,2023,5,38,38,5582.529540268704,2902,8
breachlock.com,2023,6,38,38,6075.373029937968,3022,6
breachlock.com,2023,7,38,38,7189.466610359028,2993,40
breachlock.com,2023,8,38,38,7399.943291401491,3072,40
breachlock.com,2023,9,38,38,12015.720248773694,4019,52
breachlock.com,2023,10,38,38,17684.740243094042,4545,51
breachlock.com,2023,11,38,38,17803.842383693904,4659,50
breachlock.com,2023,12,38,38,13693.491463305429,4874,15
breachlock.com,2024,1,38,38,10876.196717817336,4543,14
breachlock.com,2024,2,38,38,8371.95240271464,3421,44
breachlock.com,2024,3,38,38,8164.854738598689,3169,56
breachlock.com,2024,4,38,38,8422.927189160138,2972,98
breachlock.com,2024,5,38,38,32324.65613633208,2936,65
breachlock.com,2024,6,38,38,32635.624606553465,3039,51
breachlock.com,2024,7,38,38,6616.046416776255,3096,48
breachlock.com,2024,8,38,38,5983.441067233682,3160,40
breachlock.com,2024,9,38,38,6564.841822747141,3772,26
breachlock.com,2024,10,38,38,6674.362229049206,3853,22
breachlock.com,2024,11,38,38,7713.446934280917,3671,6
breachlock.com,2024,12,38,38,7215.311316490173,3332,2
coalfire.com,2022,12,38,38,53137.10813660175,6371,52
coalfire.com,2023,1,38,38,66619.6110468451,6002,24
coalfire.com,2023,2,38,38,39704.239536395304,6180,23
coalfire.com,2023,3,38,38,21964.852894809093,6063,24
coalfire.com,2023,4,38,38,51119.566897351295,5173,6
coalfire.com,2023,5,38,38,31569.99498287216,4794,7
coalfire.com,2023,6,38,38,36539.13735191338,5030,6
coalfire.com,2023,7,38,38,43561.46681377664,4945,7
coalfire.com,2023,8,38,38,43404.73096273281,4846,5
coalfire.com,2023,9,38,38,16801.384130215272,4914,6
coalfire.com,2023,10,38,38,16704.170739278197,4414,4
coalfire.com,2023,11,38,38,16504.60068030469,3779,4
coalfire.com,2023,12,38,38,17027.223023489118,3640,1
coalfire.com,2024,1,38,38,16794.773742821068,3498,1
coalfire.com,2024,2,38,38,17311.92749395594,3196,28
coalfire.com,2024,3,38,38,18971.65760680288,3120,71
coalfire.com,2024,4,38,38,20430.492006344717,2705,66
coalfire.com,2024,5,38,38,16838.896552057937,2494,59
coalfire.com,2024,6,38,38,15517.221218559891,2447,46
coalfire.com,2024,7,38,38,16052.599590877071,2232,146
coalfire.com,2024,8,38,38,13214.336817320436,2108,36
coalfire.com,2024,9,38,38,16970.445486398414,2266,19
coalfire.com,2024,10,38,38,17050.278787288815,2351,15
coalfire.com,2024,11,38,38,19112.077547492456,2393,10
coalfire.com,2024,12,38,38,20773.105760890994,2387,7
coresecurity.com,2022,12,38,38,27675.07984095253,9466,27
coresecurity.com,2023,1,38,38,27785.065718801692,8624,16
coresecurity.com,2023,2,38,38,43106.123243631795,9654,16
coresecurity.com,2023,3,38,38,34048.86646110937,8926,4
coresecurity.com,2023,4,38,38,76591.23477320932,8508,2
coresecurity.com,2023,5,38,38,38726.53367538005,8169,1
coresecurity.com,2023,6,38,38,40173.97077940591,7940,1
coresecurity.com,2023,7,38,38,36145.02988396771,8183,1
coresecurity.com,2023,8,38,38,34295.32224431448,7779,1
coresecurity.com,2023,9,38,38,41713.82066565193,8310,0
coresecurity.com,2023,10,38,38,39098.81829203479,8144,0
coresecurity.com,2023,11,38,38,39045.168468857184,7783,0
coresecurity.com,2023,12,38,38,42624.21190624125,7557,0
coresecurity.com,2024,1,38,38,37979.45600831881,7380,1
coresecurity.com,2024,2,38,38,40056.47364509851,7070,2
coresecurity.com,2024,3,38,38,38168.767093311995,7096,12
coresecurity.com,2024,4,38,38,38344.31322086416,6905,25
coresecurity.com,2024,5,38,38,42119.56927353516,7106,18
coresecurity.com,2024,6,38,38,52717.14472148754,7325,17
coresecurity.com,2024,7,38,38,52914.67094924114,7411,26
coresecurity.com,2024,8,38,38,46118.32132911682,6702,10
coresecurity.com,2024,9,38,38,59150.16619278118,7566,3
coresecurity.com,2024,10,38,38,60194.416878692806,7903,4
coresecurity.com,2024,11,38,38,71958.36987131834,8153,7
coresecurity.com,2024,12,38,38,59237.873366361484,7729,6
covertswarm.com,2022,12,38,38,324.59504141658545,346,0
covertswarm.com,2023,1,38,38,466.9593205973506,313,0
covertswarm.com,2023,2,38,38,593.7748642843217,309,0
covertswarm.com,2023,3,38,38,620.9965247027576,360,0
covertswarm.com,2023,4,38,38,1076.506812384352,390,0
covertswarm.com,2023,5,38,38,727.414716180414,408,0
covertswarm.com,2023,6,38,38,1501.9129913654178,423,0
covertswarm.com,2023,7,38,38,1683.3146928660572,531,0
covertswarm.com,2023,8,38,38,1749.469173323363,631,0
covertswarm.com,2023,9,38,38,3047.2209058068693,962,0
covertswarm.com,2023,10,38,38,3396.7685007601976,1292,0
covertswarm.com,2023,11,38,38,5205.835402248427,1579,0
covertswarm.com,2023,12,38,38,7305.276684379205,2041,0
covertswarm.com,2024,1,38,38,7564.149156685919,2410,0
covertswarm.com,2024,2,38,38,7790.695802243426,2344,0
covertswarm.com,2024,3,38,38,5448.066181307659,2343,0
covertswarm.com,2024,4,38,38,4605.810366299003,2362,0
covertswarm.com,2024,5,38,38,3939.846064059064,2064,0
covertswarm.com,2024,6,38,38,4231.651782400906,2108,0
covertswarm.com,2024,7,38,38,8709.575802685693,2533,0
covertswarm.com,2024,8,38,38,5840.011005854234,2325,0
covertswarm.com,2024,9,38,38,7634.345141932368,2811,0
covertswarm.com,2024,10,38,38,7584.256318125874,2808,0
covertswarm.com,2024,11,38,38,6674.890529548749,2735,0
covertswarm.com,2024,12,38,38,5361.613677056506,2560,0
dionach.com,2022,12,38,38,691.6989912353456,1041,0
dionach.com,2023,1,38,38,367.0345194414258,893,0
dionach.com,2023,2,38,38,466.5862987302244,934,0
dionach.com,2023,3,38,38,623.7135197799653,894,0
dionach.com,2023,4,38,38,378.9482827875763,801,0
dionach.com,2023,5,38,38,670.3077424820513,792,0
dionach.com,2023,6,38,38,661.8494829460979,820,0
dionach.com,2023,7,38,38,418.1303610950709,768,0
dionach.com,2023,8,38,38,400.5862803645432,742,0
dionach.com,2023,9,38,38,331.09258154965937,753,0
dionach.com,2023,10,38,38,342.5844618808478,746,0
dionach.com,2023,11,38,38,402.2663616724312,720,0
dionach.com,2023,12,38,38,327.9204805381596,660,0
dionach.com,2024,1,38,38,325.6920195147395,603,0
dionach.com,2024,2,38,38,516.3887810111046,861,0
dionach.com,2024,3,38,38,505.4838424064219,890,0
dionach.com,2024,4,38,38,509.9014224410057,929,0
dionach.com,2024,5,38,38,591.2851446010172,923,0
dionach.com,2024,6,38,38,833.7312223725021,975,0
dionach.com,2024,7,38,38,993.0477198809384,1157,0
dionach.com,2024,8,38,38,925.1677717436104,1111,0
dionach.com,2024,9,38,38,890.2957244552672,1162,0
dionach.com,2024,10,38,38,913.3510842155664,1215,0
dionach.com,2024,11,38,38,985.7841827869416,1277,0
dionach.com,2024,12,38,38,858.5306420084089,1185,0
ek.co,2022,12,38,38,472.39287164621055,756,0
ek.co,2023,1,38,38,470.2976291626692,665,0
ek.co,2023,2,38,38,649.9257761407644,736,0
ek.co,2023,3,38,38,451.0934286583215,719,0
ek.co,2023,4,38,38,554.7957642581314,653,0
ek.co,2023,5,38,38,407.26926999539137,632,0
ek.co,2023,6,38,38,476.5260446127504,647,1
ek.co,2023,7,38,38,458.5304915141314,662,0
ek.co,2023,8,38,38,416.0452129412442,676,0
ek.co,2023,9,38,38,642.2341191805899,717,0
ek.co,2023,10,38,38,949.5887289922684,723,0
ek.co,2023,11,38,38,918.8637278098612,741,0
ek.co,2023,12,38,38,621.6962861940265,737,0
ek.co,2024,1,38,38,832.4454135168344,672,0
ek.co,2024,2,38,38,880.8461318444461,706,0
ek.co,2024,3,38,38,631.0364282019436,707,0
ek.co,2024,4,38,38,986.610138565302,771,0
ek.co,2024,5,38,38,1082.9563399273902,763,0
ek.co,2024,6,38,38,871.2489387709647,804,0
ek.co,2024,7,38,38,1137.5403292831031,915,0
ek.co,2024,8,38,38,966.3341014869512,941,0
ek.co,2024,9,38,38,1058.5604730341583,922,0
ek.co,2024,10,38,38,1033.8234754055738,917,0
ek.co,2024,11,38,38,1048.9906620383265,988,0
ek.co,2024,12,38,38,974.9929189868272,1039,0
hackerone.com,2022,12,38,38,1152703.2134956978,10900,0
hackerone.com,2023,1,38,38,1003880.4294647444,10696,1
hackerone.com,2023,2,38,38,599345.7420375813,12646,2
hackerone.com,2023,3,38,38,328583.0435774978,10102,0
hackerone.com,2023,4,38,38,1149884.4729414359,19548,1
hackerone.com,2023,5,38,38,847624.7663708441,28763,4
hackerone.com,2023,6,38,38,2125903.6826834343,33279,1
hackerone.com,2023,7,38,38,1862829.909663286,37619,0
hackerone.com,2023,8,38,38,569305.653145358,38020,0
hackerone.com,2023,9,38,38,637464.113641452,41676,0
hackerone.com,2023,10,38,38,593266.9607387893,41836,0
hackerone.com,2023,11,38,38,591237.647884639,40678,0
hackerone.com,2023,12,38,38,700108.1228487883,38435,0
hackerone.com,2024,1,38,38,461558.2744339537,34218,0
hackerone.com,2024,2,38,38,544763.1366766952,31668,2
hackerone.com,2024,3,38,38,534138.567724634,31373,2
hackerone.com,2024,4,38,38,488375.56988174847,29290,4
hackerone.com,2024,5,38,38,473815.0714629069,28686,1
hackerone.com,2024,6,38,38,758029.4944891743,29905,4
hackerone.com,2024,7,38,38,804702.8565185238,32520,58
hackerone.com,2024,8,38,38,513413.04147697054,31613,17
hackerone.com,2024,9,38,38,633228.952035116,32473,9
hackerone.com,2024,10,38,38,634231.0544834659,33099,8
hackerone.com,2024,11,38,38,389326.39688202745,29070,8
hackerone.com,2024,12,38,38,338212.2313621212,27109,15
mitnicksecurity.com,2022,12,38,38,13730.007120626047,2720,0
mitnicksecurity.com,2023,1,38,38,15422.871508721262,2769,0
mitnicksecurity.com,2023,2,38,38,17708.0021924451,2906,0
mitnicksecurity.com,2023,3,38,38,15244.64822962694,2642,0
mitnicksecurity.com,2023,4,38,38,13151.668885216117,2400,0
mitnicksecurity.com,2023,5,38,38,14446.264621391892,2433,0
mitnicksecurity.com,2023,6,38,38,16038.686743831262,2611,0
mitnicksecurity.com,2023,7,38,38,14493.43473206088,2726,0
mitnicksecurity.com,2023,8,38,38,17162.330691786483,2706,0
mitnicksecurity.com,2023,9,38,38,28431.47150259465,3177,0
mitnicksecurity.com,2023,10,38,38,26124.529578287154,3209,0
mitnicksecurity.com,2023,11,38,38,27650.914103079587,3080,0
mitnicksecurity.com,2023,12,38,38,24505.63374395296,2992,0
mitnicksecurity.com,2024,1,38,38,26412.41147289053,3091,0
mitnicksecurity.com,2024,2,38,38,28976.37957245484,3050,0
mitnicksecurity.com,2024,3,38,38,28466.79974914342,2916,0
mitnicksecurity.com,2024,4,38,38,26089.209682716057,2601,0
mitnicksecurity.com,2024,5,38,38,27176.554485907775,2657,0
mitnicksecurity.com,2024,6,38,38,29544.156456558037,2890,0
mitnicksecurity.com,2024,7,38,38,29439.89896918647,2951,0
mitnicksecurity.com,2024,8,38,38,21653.49450836517,2897,0
mitnicksecurity.com,2024,9,38,38,21119.09266221337,3144,0
mitnicksecurity.com,2024,10,38,38,21733.17400719412,3246,0
mitnicksecurity.com,2024,11,38,38,19851.09852526523,3534,0
mitnicksecurity.com,2024,12,38,38,20146.10150339827,3420,0
offsec.com,2022,12,38,38,1.5856599807739258,4,0
offsec.com,2023,1,38,38,1.45865997672081,2,0
offsec.com,2023,2,38,38,1.931999959051609,3,0
offsec.com,2023,3,38,38,10343.55471446924,1423,9
offsec.com,2023,4,38,38,27056.322028813884,3831,7
offsec.com,2023,5,38,38,35638.05460267328,5295,8
offsec.com,2023,6,38,38,42472.49227382988,7134,5
offsec.com,2023,7,38,38,32233.901739163324,6148,11
offsec.com,2023,8,38,38,31722.505021085963,6259,30
offsec.com,2023,9,38,38,51867.91906035133,9394,54
offsec.com,2023,10,38,38,53484.97708883323,9992,30
offsec.com,2023,11,38,38,63822.82606436871,9623,42
offsec.com,2023,12,38,38,52748.27489514463,9039,15
offsec.com,2024,1,38,38,49094.79293380305,8373,8
offsec.com,2024,2,38,38,49455.44602929801,7779,30
offsec.com,2024,3,38,38,52358.522185496986,7713,74
offsec.com,2024,4,38,38,44707.78935631551,8223,95
offsec.com,2024,5,38,38,50600.13437994941,8864,42
offsec.com,2024,6,38,38,64364.74888421781,9433,31
offsec.com,2024,7,38,38,65059.407911868766,10053,36
offsec.com,2024,8,38,38,68220.61559572071,9929,26
offsec.com,2024,9,38,38,71542.46967540681,10431,21
offsec.com,2024,10,38,38,71294.89722570963,10795,16
offsec.com,2024,11,38,38,74838.32073251903,11835,11
offsec.com,2024,12,38,38,75857.80812594481,11865,10
packetlabs.net,2022,12,38,38,9063.900263462216,4884,62
packetlabs.net,2023,1,38,38,9393.601174980402,4621,56
packetlabs.net,2023,2,38,38,9240.022903403267,4919,25
packetlabs.net,2023,3,38,38,7439.776612855494,4470,15
packetlabs.net,2023,4,38,38,8976.587580278516,3908,6
packetlabs.net,2023,5,38,38,6881.761898545548,3895,9
packetlabs.net,2023,6,38,38,10090.746351063251,4181,0
packetlabs.net,2023,7,38,38,6309.975541157648,4070,0
packetlabs.net,2023,8,38,38,5860.172430707142,3901,0
packetlabs.net,2023,9,38,38,11195.237870171666,4527,0
packetlabs.net,2023,10,38,38,12422.275426991284,4556,0
packetlabs.net,2023,11,38,38,11254.036098452285,4421,3
packetlabs.net,2023,12,38,38,11713.114397693425,4305,4
packetlabs.net,2024,1,38,38,11435.16692315787,4170,3
packetlabs.net,2024,2,38,38,12681.49537509121,4178,9
packetlabs.net,2024,3,38,38,13138.924186846241,4276,13
packetlabs.net,2024,4,38,38,15973.895838132128,4913,27
packetlabs.net,2024,5,38,38,21577.93635693192,5687,9
packetlabs.net,2024,6,38,38,23662.832958038896,6033,2
packetlabs.net,2024,7,38,38,16884.48280980438,5377,3
packetlabs.net,2024,8,38,38,13935.332917645574,4547,2
packetlabs.net,2024,9,38,38,15933.256073251368,4874,0
packetlabs.net,2024,10,38,38,16150.352655354887,5012,0
packetlabs.net,2024,11,38,38,17551.931467015296,5130,0
packetlabs.net,2024,12,38,38,14628.145466340706,5192,0
purplesec.us,2022,12,38,38,31704.2941071298,10232,0
purplesec.us,2023,1,38,38,33262.3906843774,9455,0
purplesec.us,2023,2,38,38,38109.57124491967,10011,0
purplesec.us,2023,3,38,38,33144.94566624053,9466,0
purplesec.us,2023,4,38,38,34897.642526583746,8920,0
purplesec.us,2023,5,38,38,31678.2393361032,9196,0
