Max_Keyword,Max_Volume,Max_KD,Max_CPC,Sum_Organic_Traffic,Industry_Relevant,Easy_CPC_Traffic
kevin d mitnick,18100,,0.079999998,14800,82,185000
kevin david mitnick,18100,,0.079999998,14800,82,185000
approach,33100,,2.400000095367432,40500,122,16875
ek careers,5400,0.01,0.4099999964237213,5400,100,13171
download hack,480,0.029999999,0.050000001,590,123,11800
download hacks,480,0.029999999,0.050000001,590,123,11800
coal fire,22200,0.079999998,1.690000057220459,18100,82,10710
coalfire,22200,0.079999998,1.690000057220459,18100,82,10710
hids,18100,0.1500000059604644,2.9100000858306885,22200,123,7629
scanning tools,8100,1,1.1299999952316284,8100,100,7168
ff hacks,260,0.1599999964237213,0.079999998,480,185,6000
ghost on a wire,2400,0.1899999976158142,0.5299999713897705,2400,100,4528
ghost in the wires book,2400,0.1899999976158142,0.5299999713897705,2400,100,4528
ghost in wires,2400,0.1899999976158142,0.5299999713897705,2400,100,4528
ghost in the wire,2400,0.1899999976158142,0.5299999713897705,2400,100,4528
the ghost in the wire,2400,0.1899999976158142,0.5299999713897705,2400,100,4528
ghost wires,1600,0.029999999,0.4399999976158142,1900,119,4318
defcon 31 badge,110,0.02,0.01,40,36,4000
whiteknight,18100,0.01,4.739999771118164,18100,100,3819
application hack,1300,0.270000011,0.9700000286102296,3600,277,3711
app hacking,1300,0.270000011,0.9700000286102296,3600,277,3711
defcon badge,1000,0.039999999,0.1599999964237213,590,59,3688
data hacker apps,590,0.1700000017881393,0.3199999928474426,1000,169,3125
ekco,1600,0.039999999,0.3499999940395355,1000,62,2857
tcm merch,320,0.4799999892711639,0.4099999964237213,1000,312,2439
cyber emergency,210,0.2000000029802322,0.090000004,210,100,2333
rfid hacking device,30,0.1299999952316284,0.01,20,67,2000
books about kevin mitnick,590,0.6299999952316284,0.3700000047683716,590,100,1595
book about kevin mitnick,590,0.6299999952316284,0.3700000047683716,590,100,1595
kevin mitnick: books,590,0.6299999952316284,0.3700000047683716,590,100,1595
kevin mitnick book,590,0.6299999952316284,0.3700000047683716,590,100,1595
kevin mitnick books,590,0.6299999952316284,0.3700000047683716,590,100,1595
art of invisibility,590,0.4799999892711639,0.4699999988079071,720,122,1532
offensive security,2900,0.1199999973177909,3.860000133514404,5800,200,1503
rfid hack tool,30,0.4399999976158142,0.02,30,100,1500
free hack,720,0.059999999,0.5,720,100,1440
free hacking,720,0.059999999,0.5,720,100,1440
canbus hack,90,0.039999999,0.050000001,70,78,1400
can bus hacking,90,0.039999999,0.050000001,70,78,1400
can bus hacker,90,0.039999999,0.050000001,70,78,1400
hacking the can bus,90,0.039999999,0.050000001,70,78,1400
app hacker online,40,0.01,0.079999998,110,275,1375
thread fix,720,0.8299999833106995,0.6100000143051147,720,100,1180
threadfix,720,0.8299999833106995,0.6100000143051147,720,100,1180
bounty bug program,5400,0.1500000059604644,6.170000076293945,6600,122,1070
