Max_Keyword,Max_Volume,Max_KD,Max_CPC,Sum_Organic_Traffic,Industry_Relevant,Easy_Organic_Traffic
whiteknight,18100,0.01,4.739999771,18100,100,1810000
ek careers,5400,0.01,0.409999996,5400,100,540000
coalfire,22200,0.079999998,1.690000057,18100,82,226250
coal fire,22200,0.079999998,1.690000057,18100,82,226250
replay attacks,1900,0.01,,1900,100,190000
hids,18100,0.150000006,2.910000086,22200,123,148000
infrastructure in it,3600,0.029999999,11.69999981,4400,122,146667
evil twin network,1600,0.01,4.320000172,1300,81,130000
evil twin attacks,1600,0.01,4.320000172,1300,81,130000
compliance regulations by industry,9900,0.079999998,10.5,9900,100,123750
industry compliance regulations,9900,0.079999998,10.5,9900,100,123750
synack attack,1000,0.01,53.91999817,1000,100,100000
red hat hacker,1000,0.01,9.029999733,1000,100,100000
hacker red hat,1000,0.01,9.029999733,1000,100,100000
tcm academy,1600,0.02,9.720000267,1900,119,95000
tcm security,4400,0.100000001,14.31000042,6600,150,66000
denial of service attack examples,1300,0.02,10.93000031,1300,100,65000
dos attack examples,1300,0.02,10.93000031,1300,100,65000
example of dos attack,1300,0.02,10.93000031,1300,100,65000
examples of dos attack,1300,0.02,10.93000031,1300,100,65000
